item_id,relative_path,file_name,extension,detected_format,size_bytes,probable_purpose,project_reference,readability,duplicate_group,issues,notes
1,"source-materials/Medvedev.Works.Calc.zip","Medvedev.Works.Calc.zip",".zip","ZIP container",2752782,"Подтверждённый контейнер исходных материалов","Все пакеты","Читается полностью","","Фактическое имя отличается от пути в первоначальной инструкции; соответствие подтверждено Сергеем","16 записей; 14 файлов; SHA-256 A3D0A401D2EC9A31A2888B0CDAB4E21F167064C2E55E219215339122D5214C85; не зашифрован"
2,"Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls","Кукня_01.08.24.xls",".xls","OLE CFB / Excel 97-2003 BIFF",362496,"Устаревший расчёт; экспорт деталей PRO100 и смета","Кухня 01.08.24","Требует конвертера; после конвертации читается","project-2024-08-01","Опечатка Кукня; формулы применены непоследовательно; цены без даты действия","Листы: Детали из PRO100, Расчет, Данные; 1494x46, 400x18, 118x3 использованных диапазонов"
3,"Medvedev.Works.Calc/Примеры расчетов/Кухня_01.04.25.pdf","Кухня_01.04.25.pdf",".pdf","PDF 1.7",496146,"Эскизы, план и размеры","Кухня 01.04.25; соответствие подтверждено","Текст и изображения читаются","project-2025-04-01","Внутренняя дата 01.05.25 не совпадает с именем; связь с расчётом подтверждена Сергеем","4 страницы"
4,"Medvedev.Works.Calc/Примеры расчетов/Кухня_01.04.25.xlsx","Кухня_01.04.25.xlsx",".xlsx","OOXML Excel workbook",15383,"Компонентная смета типа Базис","Волчиха / Кухня 01.04.25","Читается структурированно","project-2025-04-01","Нет общего итога и выбранных вариантов; статичные стоимости; цены без даты действия","Лист1 73x14; корпус, установка, 3 варианта ящиков, 2 варианта фасадов, столешница"
5,"Medvedev.Works.Calc/Примеры расчетов/Кухня_01.07.23.pdf","Кухня_01.07.23.pdf",".pdf","PDF 1.7",308044,"Эскизы, план и размеры","Кухня 01.07.23; соответствие подтверждено","Текст и изображения читаются","project-2023-07-01","Внутренняя дата 08.10.25 не совпадает с именем; связь с расчётом подтверждена Сергеем","2 страницы"
6,"Medvedev.Works.Calc/Примеры расчетов/Кухня_01.07.23.xlsx","Кухня_01.07.23.xlsx",".xlsx","OOXML Excel workbook",16697,"Компонентная смета типа Базис","Бебеля 120 / Кухня 01.07.23","Читается структурированно","project-2023-07-01","Нет общего итога; часть позиций помечена заказано без стоимости; цены без даты действия","Лист1 78x14; корпус, установка, фурнитура по поставщикам, подсветка"
7,"Medvedev.Works.Calc/Примеры расчетов/Кухня_01.08.21.pdf","Кухня_01.08.21.pdf",".pdf","PDF 1.7",300387,"Эскизы, план и размеры","Кухня 01.08.21","Текст и изображения читаются","project-2021-08-01","Табличные строки с PDF напрямую не связаны","3 страницы"
8,"Medvedev.Works.Calc/Примеры расчетов/Кухня_01.08.21.xls","Кухня_01.08.21.xls",".xls","OLE CFB / Excel 97-2003 BIFF",178176,"Устаревший расчёт материалов, работ, монтажа и фурнитуры","Кухня 01.08.21","Требует конвертера; после конвертации читается","project-2021-08-01","Формулы применены непоследовательно; цены без даты действия","Листы: Расчет, Данные; итог 424022.31"
9,"Medvedev.Works.Calc/Примеры расчетов/Кухня_01.08.24.pdf","Кухня_01.08.24.pdf",".pdf","PDF 1.7",450704,"Эскизы, виды, размеры и план","Кухня 01.08.24","Текст и изображения читаются","project-2024-08-01","Нет устойчивых идентификаторов связи с деталями","6 страниц"
10,"Medvedev.Works.Calc/Примеры расчетов/Кухня_16.01.26.pdf","Кухня_16.01.26.pdf",".pdf","PDF 1.7",504267,"План, виды и размеры","Кухня 16.01.26","Текст и изображения читаются","project-2026-01-16","Нет устойчивых идентификаторов связи с ручной деталировкой","5 страниц"
11,"Medvedev.Works.Calc/Примеры расчетов/Кухня_16.01.26.xlsx","Кухня_16.01.26.xlsx",".xlsx","OOXML Excel workbook",14866,"Ручной расчёт типа Медведев","Кухня 16.01.26","Читается структурированно","project-2026-01-16","Только 7 формульных ячеек; скрытые детали и фурнитура экспертные; нет общего итога","Лист1 86x17; детали корпуса, фасадов, столешницы, список компонентов"
12,"Medvedev.Works.Calc/Примеры расчетов/Кухня_22.05.26.png","Кухня_22.05.26.png",".png","PNG image",913926,"Визуальный ракурс проекта с пометками","Кухня 22.05.26","Требует визуальной проверки","project-2026-05-22","Нет размеров и структурированных полей","1280x992 RGB; OCR не применялся"
13,"Medvedev.Works.Calc/Примеры расчетов/Кухня_22.05.26.xlsx","Кухня_22.05.26.xlsx",".xlsx","OOXML Excel workbook",16578,"Компонентная смета типа Базис","Кухня 22.05.26","Читается структурированно","project-2026-05-22","Нет общего итога; только 17 формульных ячеек; цены без даты действия","Лист1 86x9; корпус, фасады, ящики, столешница, фартук, полка"
14,"Medvedev.Works.Calc/Примеры расчетов/Расчет столешницы для кухни 01.08.21.xlsx","Расчет столешницы для кухни 01.08.21.xlsx",".xlsx","OOXML Excel workbook",10464,"Отдельная смета материалов и работ по столешнице","Кухня 01.08.21","Читается структурированно","project-2021-08-01","Доставка: цена 800 x 1, но стоимость вручную 5000; цены без даты действия","Лист1 фактически A3:E21; итог 104600"
15,"Medvedev.Works.Calc/Примеры расчетов/Сопроводительная записка.docx","Сопроводительная записка.docx",".docx","OOXML Word document",20492,"Описание типов расчёта и ручных операций","Все пакеты","Читается структурированно","","Подтверждает неформализованные решения по наитию","Описывает типы Базис, Медведев и Устаревший"
