exception_id,project_id,component_id,item_id,exception_type,description,impact_level,resolution_owner,resolution_status,allowed_next_action,resolution_note,status_codes,source_container,source_file,source_sheet_or_section,source_row_or_range,source_value_raw,source_formula,source_formula_cell
E-20240801-FBAA79BBFF7DE7E7,P-2024-08-01,,,source_metadata_conflict,Наименования девяти акриловых деталей отличаются от соответствующих наименований Расчет!B71:B79.,medium,furniture_expert,open,expert_review,,unknown;requires_expert_review,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,Детали из PRO100,A69:A77,"{""A69"":""Акрил 12мм пласть"",""A70"":""Акрил 12мм пласть"",""A71"":""Акрил 12мм пласть"",""A72"":""Акрил 12мм подгиб"",""A73"":""Акрил 12мм Торец"",""A74"":""Акрил 12мм Торец"",""A75"":""Акрил 12мм Торец"",""A76"":""Акрил 12мм Торец"",""A77"":""Акрил 12мм Торец""}",,
E-20240801-D59D46AB2DDB57C4,P-2024-08-01,,,ambiguous_semantics,После списка деталей находятся четыре записи без заголовка; смысл значений столбца B меняется относительно детального блока.,medium,furniture_expert,open,preserve_without_inference,,unknown;requires_expert_review,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,Детали из PRO100,A79:B82,"{""A79"":""Ножка"",""B79"":""36"",""A80"":""СТАРТ SOFT средней высоты SB19*.1/500"",""B80"":""1"",""A81"":""СТАРТ SOFT стандартной высоты SB18*.1/500"",""B81"":""1"",""A82"":""СТАРТ SOFT ЭКСТРА SB21*.1/500"",""B82"":""4""}",,
E-20240801-84DF7C22767B5953,P-2024-08-01,,,ambiguous_semantics,"Коэффициенты кромления в столбцах F:G участвуют в формулах, но их семантика и допустимые значения не документированы.",medium,furniture_expert,open,normalize_literal_fields_only,,unknown;requires_expert_review,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,Расчет,F5:G79,"{""F5"":""2"",""G5"":""2"",""F6"":""2"",""G6"":""2"",""F7"":""2"",""G7"":""2"",""F8"":""2"",""G8"":""2"",""F9"":""2"",""G9"":""2"",""F10"":""2"",""G10"":""2"",""F11"":""2"",""G11"":""2"",""F12"":""2"",""G12"":""2"",""F13"":""2"",""G13"":""2"",""F14"":""2"",""G14"":""2"",""F15"":""2"",""G15"":""2"",""F16"":""2"",""G16"":""2"",""F17"":""2"",""G17"":""2"",""F18"":""2"",""G18"":""2"",""F19"":""2"",""G19"":""2"",""F20"":""2"",""G20"":""2"",""F21"":""2"",""G21"":""2"",""F22"":""2"",""G22"":""2"",""F23"":""2"",""G23"":""2"",""F24"":""2"",""G24"":""2"",""F25"":""2"",""G25"":""2"",""F26"":""2"",""G26"":""2"",""F27"":""2"",""G27"":""2"",""F28"":""2"",""G28"":""2"",""F29"":""2"",""G29"":""2"",""F30"":""0"",""G30"":""0"",""F31"":""0"",""G31"":""0"",""F32"":""0"",""G32"":""0"",""F33"":""0"",""G33"":""0"",""F34"":""0"",""G34"":""0"",""F35"":""0"",""G35"":""0"",""F36"":""0"",""G36"":""0"",""F37"":""0"",""G37"":""0"",""F38"":""0"",""G38"":""0"",""F39"":""0"",""G39"":""0"",""F40"":""0"",""G40"":""0"",""F41"":""0"",""G41"":""0"",""F42"":""0"",""G42"":""0"",""F43"":""0"",""G43"":""0"",""F44"":""0"",""G44"":""0"",""F45"":""0"",""G45"":""0"",""F46"":""0"",""G46"":""0"",""F47"":""0"",""G47"":""0"",""F48"":""0"",""G48"":""0"",""F49"":""0"",""G49"":""0"",""F50"":""0"",""G50"":""0"",""F51"":""0"",""G51"":""0"",""F52"":""0"",""G52"":""0"",""F53"":""0"",""G53"":""0"",""F54"":""0"",""G54"":""0"",""F55"":""0"",""G55"":""0"",""F56"":""0"",""G56"":""0"",""F57"":""0"",""G57"":""0"",""F58"":""0"",""G58"":""0"",""F59"":""0"",""G59"":""0"",""F60"":""0"",""G60"":""0"",""F61"":""0"",""G61"":""0"",""F62"":""0"",""G62"":""0"",""F63"":""0"",""G63"":""0"",""F64"":""0"",""G64"":""0"",""F65"":""0"",""G65"":""0"",""F66"":""0"",""G66"":""0"",""F67"":""0"",""G67"":""0"",""F68"":""2"",""G68"":""2"",""F69"":""2"",""G69"":""2"",""F70"":""2"",""G70"":""2"",""F71"":""1"",""G71"":""0"",""F72"":""1"",""G72"":""0"",""F73"":""1"",""G73"":""0"",""F74"":""1"",""G74"":""0"",""F75"":""1"",""G75"":""0"",""F76"":""1"",""G76"":""0"",""F77"":""1"",""G77"":""0"",""F78"":""1"",""G78"":""0"",""F79"":""1"",""G79"":""0""}",,
E-20240801-85B2F56C110F60F8,P-2024-08-01,,,unknown_unit,"Количества нижнего блока заданы числом, но единица измерения не указана.",medium,furniture_expert,open,preserve_without_inference,,unknown;requires_expert_review,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,Расчет,G115:G129,"{""G115"":""36,00 "",""G116"":""1,00 "",""G117"":""1,00 "",""G118"":""4,00 "",""G119"":""2,00 "",""G120"":""4,00 "",""G121"":""51,00 "",""G122"":""1,00 "",""G123"":""1,00 "",""G124"":""1,00 "",""G125"":""2,00 "",""G126"":""2,00 "",""G127"":""1,00 "",""G128"":""1,00 "",""G129"":""1,00 ""}",,
E-20240801-F348FDEF3DCB901F,P-2024-08-01,,,unconfirmed_currency,"Денежные значения отформатированы символом «р.», но код валюты источником не подтвержден.",high,project_owner,open,preserve_without_inference,,unknown,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,Расчет,H2:P162,Денежные значения листа Расчет; currency_code отсутствует.,,
E-20240801-439B8480E938CB19,P-2024-08-01,,,unconfirmed_price_date,Дата действия исторических цен и версия прайс-листа отсутствуют.,high,project_owner,open,preserve_without_inference,,unknown,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,Расчет,H2:P162,Исторические цены листа Расчет; price_effective_date отсутствует.,,
E-20240801-BA6DA16F5E476728,P-2024-08-01,,,expert_rule_missing,"Назначение коэффициентов J2, K2 и M2, их диапазоны и правило выбора не документированы.",high,furniture_expert,open,expert_review,,unknown;requires_expert_review,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,Расчет,J2:M2,"{""J2"":""1"",""K2"":""0"",""L2"":""Фурнитура"",""M2"":""1""}",,
E-20240801-B12F828DA4148DFE,P-2024-08-01,,,expert_rule_missing,Правило экспертного подбора фурнитуры и монтажных позиций нижнего блока отсутствует.,high,furniture_expert,open,expert_review,,unknown;requires_expert_review,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,Расчет,F115:P129,"{""F115"":""Ножка"",""G115"":""36,00 "",""H115"":""           70,00р. "",""I115"":""2 520,00р."",""L115"":""150,00р."",""N115"":""                            5 400,00р. "",""P115"":""            7 920,00р. "",""F116"":""СТАРТ SOFT средней высоты SB19*.1/500"",""G116"":""1,00 "",""H116"":""      3 500,00р. "",""I116"":""3 500,00р."",""L116"":""400,00р."",""N116"":""                               400,00р. "",""P116"":""            3 900,00р. "",""F117"":""СТАРТ SOFT стандартной высоты SB18*.1/500"",""G117"":""1,00 "",""H117"":""      3 000,00р. "",""I117"":""3 000,00р."",""L117"":""400,00р."",""N117"":""                               400,00р. "",""P117"":""            3 400,00р. "",""F118"":""СТАРТ SOFT ЭКСТРА SB21*.1/500"",""G118"":""4,00 "",""H118"":""      3 000,00р. "",""I118"":""12 000,00р."",""L118"":""400,00р."",""N118"":""                            1 600,00р. "",""P118"":""          13 600,00р. "",""F119"":""акриловый камень 3650х760"",""G119"":""2,00 "",""H119"":""    30 000,00р. "",""I119"":""60 000,00р."",""L119"":""0,00р."",""N119"":""                                       -  р. "",""P119"":""          60 000,00р. "",""F120"":""навесы"",""G120"":""4,00 "",""H120"":""      1 100,00р. "",""I120"":""4 400,00р."",""L120"":""400,00р."",""N120"":""                            1 600,00р. "",""P120"":""            6 000,00р. "",""F121"":""петли"",""G121"":""51,00 "",""H121"":""         600,00р. "",""I121"":""30 600,00р."",""L121"":""200,00р."",""N121"":""                          10 200,00р. "",""P121"":""          40 800,00р. "",""F122"":""лоток"",""G122"":""1,00 "",""H122"":""      2 500,00р. "",""I122"":""2 500,00р."",""L122"":""150,00р."",""N122"":""                               150,00р. "",""P122"":""            2 650,00р. "",""F123"":""сушка для посуды"",""G123"":""1,00 "",""H123"":""    11 000,00р. "",""I123"":""11 000,00р."",""L123"":""400,00р."",""N123"":""                               400,00р. "",""P123"":""          11 400,00р. "",""F124"":""Установка посудомойки"",""G124"":""1,00 "",""H124"":""                 -  р. "",""I124"":""0,00р."",""L124"":""3 000,00р."",""N124"":""                            3 000,00р. "",""P124"":""            3 000,00р. "",""F125"":""Установка холодильников"",""G125"":""2,00 "",""H125"":""                 -  р. "",""I125"":""0,00р."",""L125"":""3 000,00р."",""N125"":""                            6 000,00р. "",""P125"":""            6 000,00р. "",""F126"":""Установка духовки"",""G126"":""2,00 "",""H126"":""                 -  р. "",""I126"":""0,00р."",""L126"":""1 000,00р."",""N126"":""                            2 000,00р. "",""P126"":""            2 000,00р. "",""F127"":""Установка вытяжки"",""G127"":""1,00 "",""H127"":""                 -  р. "",""I127"":""0,00р."",""L127"":""3 000,00р."",""N127"":""                            3 000,00р. "",""P127"":""            3 000,00р. "",""F128"":""Установка мойки"",""G128"":""1,00 "",""H128"":""                 -  р. "",""I128"":""0,00р."",""L128"":""3 000,00р."",""N128"":""                            3 000,00р. "",""P128"":""            3 000,00р. "",""F129"":""Установка варочной панели"",""G129"":""1,00 "",""H129"":""                 -  р. "",""I129"":""0,00р."",""L129"":""1 000,00р."",""N129"":""                            1 000,00р. "",""P129"":""            1 000,00р. ""}",,
E-20240801-849E9017D687A5E9,P-2024-08-01,,,source_metadata_conflict,"В имени исходного XLS сохранена опечатка «Кукня», тогда как нормализованное имя проекта — «Кухня 01.08.24».",low,data_operator,accepted_as_is,accept_source_value,Исходный путь сохраняется без исправления; исправление применяется только к project_name_normalized.,confirmed,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кукня_01.08.24.xls,file,Кукня_01.08.24.xls,Кукня_01.08.24.xls,,
E-20250401-171FFC7AB89F5EE4,P-2025-04-01,,,alternative_not_selected,"Три варианта компонента «Ящики» структурно являются альтернативами, но выбранный вариант не указан.",high,furniture_expert,open,expert_review,,unknown;requires_expert_review,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кухня_01.04.25.xlsx,Лист1,A35:I51,"{""A35"":""Компонент \""Ящики\"""",""A36"":""Вариант компонента ящики №1 \""Блюм, Леграбокс\"""",""H40"":""126548"",""A41"":""Вариант компонента ящики №2 \""Блюм, Тандембокс\"""",""H45"":""73140"",""A47"":""Вариант компонента ящики №3 \""Боярд\"""",""H51"":""35403""}",,
E-20250401-8A8AD70E89102E44,P-2025-04-01,,,alternative_not_selected,"Два варианта компонента «Фасады» структурно являются альтернативами, но выбранный вариант не указан.",high,furniture_expert,open,expert_review,,unknown;requires_expert_review,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кухня_01.04.25.xlsx,Лист1,A53:I71,"{""A53"":""Компонент \""Фасады\"""",""A54"":""Вариант компонента Фасады №1 Шпон-эмаль"",""H61"":""221500"",""A63"":""Вариант компонента Фасады №2 Пленка-ЛДСП в лаке"",""H71"":""204568""}",,
E-20250401-083AF36B36875052,P-2025-04-01,,,expert_rule_missing,"Правило преобразования расчетного количества и коэффициента в количество заказа не формализовано. Фактически затронуты D6:F29, D38:F39, D43:F44, D49:F50, D56:F60, D65:F68 и D70:F70.",medium,furniture_expert,open,normalize_literal_fields_only,,unknown;requires_expert_review,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кухня_01.04.25.xlsx,Лист1,D6:F70,"{""D6"":""105.23"",""E6"":""1.2"",""F6"":""130"",""D7"":""15.93"",""E7"":""1.2"",""F7"":""20"",""D8"":""2.73"",""E8"":""1.15"",""F8"":""4"",""D9"":""26"",""E9"":""1"",""F9"":""26"",""D10"":""112"",""E10"":""1"",""F10"":""112"",""D11"":""8"",""E11"":""1"",""F11"":""8"",""D12"":""4"",""E12"":""1"",""F12"":""4"",""D13"":""4"",""E13"":""1"",""F13"":""4"",""D14"":""5"",""E14"":""1"",""F14"":""5"",""D15"":""5"",""E15"":""1"",""F15"":""5"",""D16"":""2"",""E16"":""1"",""F16"":""2"",""D17"":""31"",""E17"":""1"",""F17"":""31"",""D18"":""12"",""E18"":""1"",""F18"":""12"",""D19"":""12"",""E19"":""1"",""F19"":""12"",""D20"":""32"",""E20"":""1"",""F20"":""32"",""D21"":""32"",""E21"":""1"",""F21"":""32"",""D22"":""28"",""E22"":""1"",""F22"":""28"",""D23"":""31"",""E23"":""1"",""F23"":""31"",""D24"":""36"",""E24"":""1"",""F24"":""36"",""D25"":""56"",""E25"":""1"",""F25"":""56"",""D26"":""14"",""E26"":""1"",""F26"":""14"",""D27"":""28"",""E27"":""1"",""F27"":""28"",""D28"":""32"",""E28"":""1"",""F28"":""32"",""D29"":""12"",""E29"":""1"",""F29"":""12"",""D38"":""8"",""E38"":""1"",""F38"":""8"",""D39"":""1"",""E39"":""1"",""F39"":""1"",""D43"":""8"",""E43"":""1"",""F43"":""8"",""D44"":""1"",""E44"":""1"",""F44"":""1"",""D49"":""8"",""E49"":""1"",""F49"":""8"",""D50"":""1"",""E50"":""1"",""F50"":""1"",""D56"":""0.83"",""E56"":""1.15"",""F56"":""1"",""D57"":""6.44"",""E57"":""1.15"",""F57"":""7.5"",""D58"":""4.06"",""E58"":""1.15"",""F58"":""5"",""D59"":""2.62"",""E59"":""1.15"",""F59"":""3"",""D60"":""1.6"",""E60"":""1.15"",""F60"":""2"",""D65"":""9.1"",""E65"":""1.15"",""F65"":""10.5"",""D66"":""5.7"",""E66"":""1.15"",""F66"":""6.6"",""D67"":""89"",""E67"":""1.2"",""F67"":""107"",""D68"":""14.8"",""E68"":""1.15"",""F68"":""17"",""D70"":""14.8"",""E70"":""1.15"",""F70"":""17""}",,
E-20250401-3648CBF1672DF4FE,P-2025-04-01,C-20250401-478AAD077324AFFF,,unknown_unit,Для объемов монтажных операций в L6:L13 единица измерения не указана.,medium,furniture_expert,open,normalize_literal_fields_only,,unknown;requires_expert_review,source-materials/Medvedev.Works.Calc.zip,Medvedev.Works.Calc/Примеры расчетов/Кухня_01.04.25.xlsx,Лист1,L6:L13,"{""L6"":""3"",""L7"":""3"",""L8"":""1"",""L9"":""9"",""L10"":""28"",""L11"":""85"",""L12"":""13"",""L13"":""16""}",,
