entity,field,source_location,data_type,unit,example_value,reliability,automatic_extraction,historical_or_current,issues,notes
project,calculation_type,"Сопроводительная записка.docx; заголовки книг",text,,"Базис / Медведев / Устаревший",high,"Автоматически извлекается",not_applicable,"Нет отдельного стабильного кода типа","Типы прямо описаны в записке"
project,project_reference,"Кухня_01.04.25.xlsx!Лист1!B1:B2",text,,"Волчиха / Кухня",medium,"Автоматически извлекается",not_applicable,"Не является уникальным ID","Адрес/условное имя есть не во всех книгах"
project,calculation_date,"Имена файлов; Кухня_22.05.26.xlsx!Лист1!A1",date,,"22.05.2026",medium,"Извлекается частично",historical,"Даты в двух PDF расходятся с именами файлов","Соответствие PDF расчётам подтверждено Сергеем; расхождение является проблемой метаданных"
design,view_title,"PDF: заголовки страниц",text,,"План / Общий вид / Вид 1",high,"Автоматически извлекается",not_applicable,"Не связан с табличным ID","PDF содержит 20 страниц видов и размеров"
design,dimension,"Кухня_01.08.24.pdf, стр. 3-6",number,mm,"600",medium,"Извлекается частично",not_applicable,"Геометрический контекст размерной линии теряется при извлечении текста","Требует отдельного конвертера или ручной проверки"
detail,name,"Кукня_01.08.24.xls!Детали из PRO100!A1:A85",text,,"ЛДСП 16мм корпус дно",high,"Автоматически извлекается",not_applicable,"Названия содержат материал и роль в одной строке","Подходит для последующего разбиения"
detail,length,"Кукня_01.08.24.xls!Детали из PRO100!B1:B85",number,mm,"600",high,"Автоматически извлекается",not_applicable,"Ориентация длина/ширина не нормализована между источниками",""
detail,width,"Кукня_01.08.24.xls!Детали из PRO100!C1:C85",number,mm,"514",high,"Автоматически извлекается",not_applicable,"Ориентация длина/ширина не нормализована между источниками",""
detail,quantity,"Кукня_01.08.24.xls!Детали из PRO100!D1:D85",number,pcs,"5",high,"Автоматически извлекается",not_applicable,"Пустые строки и группы требуют фильтрации",""
detail,texture_or_color,"Кукня_01.08.24.xls!Детали из PRO100!E1:E85",text,,"Цвета\Белый",medium,"Автоматически извлекается",not_applicable,"Смешаны путь текстуры и цвет",""
detail,edge_flags,"Кукня_01.08.24.xls!Расчет!F5:G104",number,edge_count,"2 / 2",medium,"Автоматически извлекается",not_applicable,"Семантика числовых флагов документально не описана","Используются в формуле кромки"
