sheet_name,column_order,column_name,data_type,required,unique,default_value,enum_values,reference_sheet,reference_column,validation,description
Schema_Meta,1,schema_version_id,string,true,true,,,,,"ascii_stable_id; immutable_after_publish","Stable identity of a schema release"
Schema_Meta,2,schema_name,string,true,false,calculation_database,,,,"non_empty","Logical schema name"
Schema_Meta,3,version,integer,true,false,,,,,"integer >= 1; unique_with(schema_name)","Monotonic schema version"
Schema_Meta,4,status,string,true,false,DRAFT,DRAFT|ACTIVE|RETIRED,,,"enum","Schema lifecycle status"
Schema_Meta,5,effective_from,date,true,false,,,,,"iso_date","Inclusive effective date"
Schema_Meta,6,effective_to,date,false,false,,,,,"iso_date; value > effective_from; blank means open-ended","Exclusive effective date"
Schema_Meta,7,compatible_runtime_version,string,true,false,,,,,"non_empty","Minimum compatible deterministic runtime version"
Schema_Meta,8,provenance,json,true,false,,,,,"valid_json_array; non_empty","Repository evidence and release provenance"
Schema_Meta,9,notes,string,false,false,,,,,"plain_text_only","Release notes"
System_Config,1,config_entry_id,string,true,true,,,,,"ascii_stable_id; immutable_after_publish","Stable identity of a versioned config row"
System_Config,2,config_key,string,true,false,,,,,"ascii_stable_id; unique_with(version)","Stable logical config key"
System_Config,3,display_name,string,true,false,,,,,"non_empty","Human-readable label"
System_Config,4,value_json,json,true,false,,,,,"valid_json; no_executable_code","Typed configuration value"
System_Config,5,value_type,string,true,false,,STRING|INTEGER|DECIMAL|BOOLEAN|JSON,,,"enum","Declared value type"
System_Config,6,version,integer,true,false,1,,,,"integer >= 1","Config revision"
System_Config,7,status,string,true,false,DRAFT,DRAFT|ACTIVE|RETIRED,,,"enum","Config lifecycle"
System_Config,8,effective_from,date,true,false,,,,,"iso_date","Inclusive effective date"
System_Config,9,effective_to,date,false,false,,,,,"iso_date; value > effective_from; no_overlap(config_key)","Exclusive effective date"
System_Config,10,provenance,json,true,false,,,,,"valid_json_array; non_empty","Source references"
System_Config,11,notes,string,false,false,,,,,"plain_text_only","Non-executable notes"
Module_Size_Rules,1,module_rule_id,string,true,true,,,,,"ascii_stable_id; immutable_after_publish","Stable rule identity; accepted MKT IDs may be reused"
Module_Size_Rules,2,module_class,string,true,false,,,,,"ascii_code","Stage 3 module class"
Module_Size_Rules,3,module_role,string,false,false,,,,,"ascii_code; blank only when role is not constrained","Optional functional role"
Module_Size_Rules,4,dimension,string,true,false,,WIDTH|HEIGHT|DEPTH|NOMINAL_WIDTH,,,"enum","Measured dimension"
Module_Size_Rules,5,size_value_mm,decimal,false,false,,,,,"number > 0; required for exact","Exact size in millimetres"
Module_Size_Rules,6,size_min_mm,decimal,false,false,,,,,"number > 0; <= size_max_mm","Range minimum"
Module_Size_Rules,7,size_max_mm,decimal,false,false,,,,,"number > 0; >= size_min_mm","Range maximum"
Module_Size_Rules,8,size_qualifier,string,true,false,EXACT,EXACT|RANGE,,,"enum; exact requires size_value_mm; range requires min and max","Size interpretation"
Module_Size_Rules,9,rank,string,true,false,,A|B|C|D|E,,,"enum","Accepted market rank"
