category,name,unit,price,currency,vendor,article,active,notes,updated_at,item_id
MATERIAL,"ЛДСП 16 мм белая, 2800x2070",m2,600.89,RUB,ТД Сервер / ExtraVert,LNEDS16W3343V,True,Демо-цена нормализована из 3482.76 RUB/лист 2800x2070 (5.796 м²). Источник: https://www.tdserver.ru/catalog/laminirovannoe_dsp/ldsp_standart_16_mm/ldsp_2800x2070x16_belyy_w3343v_shagren_std_extravert/,2026-08-31,LDSP_16_WHITE
MATERIAL,"МДФ шлифованная 16 мм Kronostar, 2800x2070",m2,565.39,RUB,Строй-Провайдер / Kronostar,KRONOSTAR_MDF16_2800X2070,True,Демо-цена нормализована из 3277 RUB/лист 2800x2070 (5.796 м²). Источник: https://stroyprovider.ru/mdf/16mm_2800x2070mm/,2026-08-31,MDF_16_RAW
MATERIAL,"ХДФ шлифованная 3 мм Ultradecor, 2800x2070",m2,142.86,RUB,Строй-Провайдер / Ultradecor,ULTRADECOR_HDF3_2800X2070,True,Демо-цена нормализована из 828 RUB/лист 2800x2070 (5.796 м²). Источник: https://stroyprovider.ru/hdf/69,2026-08-31,HDF_3_RAW
MATERIAL,"ЛХДФ белая 3 мм Ultradecor, 2800x2070",m2,175.64,RUB,Строй-Провайдер / Ultradecor,ULTRADECOR_LHDF3_WHITE,True,Демо-цена нормализована из 1018 RUB/лист 2800x2070 (5.796 м²). Источник: https://stroyprovider.ru/lhdf/262/,2026-08-31,LHDF_3_WHITE
FACADE,"Фасад МДФ ПВХ 16 мм, базовая категория",m2,4350.0,RUB,ФМФ Ирбис,PVC16_STD_CAT1_G1,True,"Прайс для мебельных компаний с 15.02.2026: прямой фасад 16 мм, ПВХ Стандарт, категория 1, фрезеровка группа 1 — 4350 RUB/м². Источник: https://fmf-irbis.ru/upload/iblock/d55/iwoat7pqwretbvgzwc7d8nwm1hep03y8/%D0%9F%D1%80%D0%B0%D0%B8%CC%86%D1%81%20%D0%A4%D0%9C%D0%A4%20%D0%98%D1%80%D0%B1%D0%B8%D1%81%20%D1%81%202026-02-15%20%D0%B4%D0%BB%D1%8F%20%D0%BC%D0%B5%D0%B1%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D0%B8%CC%86%20.pdf",2026-08-31,FACADE_MDF_PVC_16
COUNTERTOP,"Столешница ЛДСП 38 мм, 600 мм глубина",m,2117.08,RUB,Лемана ПРО,89077700,True,Демо-цена нормализована из 5081 RUB за столешницу 2400x600x38 мм: 5081/2.4 = 2117.08 RUB/пог.м. Источник: https://tyumen.lemanapro.ru/proekt-kuhni/gotovye/pryamye/kuhonnyy-garnitur-mius-16-m/,2026-08-31,COUNTERTOP_LDSP_38
EDGE,Кромка ПВХ 2x22 мм белая гладкая,m,14.35,RUB,МДМ,0110.10.2X22,True,Демо-цена нормализована из 1435.31 RUB за 100 пог.м = 14.35 RUB/м. Источник: https://www.mdm-complect.ru/catalog/kromochnye-materialy/filter/tolshchina-mm-is-2/shirina-mm-is-22/dekor-is-odnotonnyy/tisnenie-is-gladkoe/,2026-08-31,EDGE_PVC_2X22_WHITE
EDGE,Кромка ПВХ 0.4x22 мм светло-серая,m,4.47,RUB,МДМ,U708.20.0.4X22,True,Демо-цена нормализована из 894 RUB за 200 пог.м = 4.47 RUB/м. Источник: https://www.mdm-complect.ru/catalog/kromochnye-materialy/filter/tolshchina-mm-is-0-4-or-2/shirina-mm-is-22/,2026-08-31,EDGE_PVC_0_4X22
HARDWARE,Петля накладная 105° с амортизацией,pcs,105.21,RUB,BOYARD,H301A02/0910/BN,True,Розничная цена BOYARD за 1 шт. Источник: https://www.boyard.biz/catalog/hinges_systems/ugol_otkryvaniya-105,2026-08-31,HINGE_SOFTCLOSE_105
HARDWARE,Направляющие шариковые полного выдвижения 450 мм,set,410.31,RUB,BOYARD,DB4501Zn/450,True,Розничная цена за комплект левая+правая. Источник: https://www.boyard.biz/catalog/slide_systems/db4501zn-450.html,2026-08-31,DRAWER_SLIDE_450_FULL
HARDWARE,Опора кухонная пластиковая регулируемая 100 мм,pcs,32.25,RUB,МЕБЕЛИНКЪ / Яндекс Маркет,4621188862,True,Демо-цена нормализована из 258 RUB за комплект 8 шт = 32.25 RUB/шт. Источник: https://m.integration.vs.market.yandex.net/card/opora-kukhonnaya-plastikovaya-100-mm-komplekt-8-sht-chernaya/4621188862,2026-08-31,LEG_KITCHEN_100
HARDWARE,Полкодержатель стальной никелированный 5 мм,pcs,4.17,RUB,Häfele,282.04.711,True,Цена за 1 шт при упаковке 100 шт. Источник: https://h-f-l.ru/catalog/mebelnaya-furnitura/soedinitelnaya-furnitura/polkoderjateli/,2026-08-31,SHELF_SUPPORT_5MM
HARDWARE,Конфирмат 7x50,pcs,1.38,RUB,Оптсбыт,CONFIRMAT_7X50,True,Цена из коммерческого предложения: винт Конфирмат 7x50 — 1.38 RUB/шт. Источник: https://optsbyt.ru/files/catalog-files/%D0%9A%D0%BE%D0%BC%D0%BC%D0%B5%D1%80%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5%20%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5.pdf,2026-08-31,CONFIRMAT_7X50
HARDWARE,Ручка-рейлинг 128 мм сатиновый хром,pcs,206.75,RUB,BOYARD,RR002SC.5/128,True,Розничная цена за 1 шт. Источник: https://www.boyard.biz/catalog/handles/rr002sc.5-128.html,2026-08-31,HANDLE_128
ACCESSORY,Цоколь кухонный ПВХ 100 мм,m,162.63,RUB,Smart812 / СимПласт,цок100-24,True,Актуальность на сайте 30.08.2026. Цена 650.50 RUB за 4 м → 162.63 RUB/м. Источник: https://smart812.ru/catalog/product/tsokol_pvkh_silver_100_mm_x_4000_mm/,2026-08-31,PLINTH_PVC_100
