project_id,module_class,dimension,observed_value_mm,market_match,market_rank,studio_classification,observation_count,component_count,project_count,evidence_type,confidence,source_reference,notes
P-2024-08-01,detail,length,86,NOT_COMPARABLE,,UNRESOLVED,1,0,1,DIRECT,high,stages/02-normalization/normalized-items.csv,DIRECT detail dimension; not a module dimension. Component ID absent.
P-2024-08-01,detail,length,118,NOT_COMPARABLE,,UNRESOLVED,1,0,1,DIRECT,high,stages/02-normalization/normalized-items.csv,DIRECT detail dimension; not a module dimension. Component ID absent.
P-2024-08-01,detail,length,162,NOT_COMPARABLE,,UNRESOLVED,1,0,1,DIRECT,high,stages/02-normalization/normalized-items.csv,DIRECT detail dimension; not a module dimension. Component ID absent.
P-2024-08-01,detail,length,190,NOT_COMPARABLE,,UNRESOLVED,1,0,1,DIRECT,high,stages/02-normalization/normalized-items.csv,DIRECT detail dimension; not a module dimension. Component ID absent.
P-2024-08-01,detail,length,199,NOT_COMPARABLE,,UNRESOLVED,2,0,1,DIRECT,high,stages/02-normalization/normalized-items.csv,DIRECT detail dimension; not a module dimension. Component ID absent.
P-2024-08-01,detail,length,318,NOT_COMPARABLE,,UNRESOLVED,3,0,1,DIRECT,high,stages/02-normalization/normalized-items.csv,DIRECT detail dimension; not a module dimension. Component ID absent.
P-2024-08-01,detail,length,350,NOT_COMPARABLE,,UNRESOLVED,2,0,1,DIRECT,high,stages/02-normalization/normalized-items.csv,DIRECT detail dimension; not a module dimension. Component ID absent.
P-2024-08-01,detail,length,380,NOT_COMPARABLE,,UNRESOLVED,3,0,1,DIRECT,high,stages/02-normalization/normalized-items.csv,DIRECT detail dimension; not a module dimension. Component ID absent.
P-2024-08-01,detail,length,418,NOT_COMPARABLE,,UNRESOLVED,1,0,1,DIRECT,high,stages/02-normalization/normalized-items.csv,DIRECT detail dimension; not a module dimension. Component ID absent.
P-2024-08-01,detail,length,450,NOT_COMPARABLE,,UNRESOLVED,1,0,1,DIRECT,high,stages/02-normalization/normalized-items.csv,DIRECT detail dimension; not a module dimension. Component ID absent.
P-2024-08-01,detail,length,453,NOT_COMPARABLE,,UNRESOLVED,1,0,1,DIRECT,high,stages/02-normalization/normalized-items.csv,DIRECT detail dimension; not a module dimension. Component ID absent.
P-2024-08-01,detail,length,493,NOT_COMPARABLE,,UNRESOLVED,1,0,1,DIRECT,high,stages/02-normalization/normalized-items.csv,DIRECT detail dimension; not a module dimension. Component ID absent.
P-2024-08-01,detail,length,512,NOT_COMPARABLE,,UNRESOLVED,3,0,1,DIRECT,high,stages/02-normalization/normalized-items.csv,DIRECT detail dimension; not a module dimension. Component ID absent.
P-2024-08-01,detail,length,568,NOT_COMPARABLE,,UNRESOLVED,6,0,1,DIRECT,high,stages/02-normalization/normalized-items.csv,DIRECT detail dimension; not a module dimension. Component ID absent.
P-2024-08-01,detail,length,580,NOT_COMPARABLE,,UNRESOLVED,2,0,1,DIRECT,high,stages/02-normalization/normalized-items.csv,DIRECT detail dimension; not a module dimension. Component ID absent.
P-2024-08-01,detail,length,593,NOT_COMPARABLE,,UNRESOLVED,1,0,1,DIRECT,high,stages/02-normalization/normalized-items.csv,DIRECT detail dimension; not a module dimension. Component ID absent.
P-2024-08-01,detail,length,600,NOT_COMPARABLE,,UNRESOLVED,2,0,1,DIRECT,high,stages/02-normalization/normalized-items.csv,DIRECT detail dimension; not a module dimension. Component ID absent.
