record_id,record_type,module_class,dimension,size_raw,size_value_mm,size_min_mm,size_max_mm,size_secondary_mm,size_qualifier,rank,market_frequency,manufacturability,appliance_compatibility,hardware_compatibility,design_relevance,recommended_use,source_layer,source_ref,evidence,comparison_note
MKT-001,market_baseline,base_general,width,150,150,150,150,,exact,D,niche,high,low,high,medium,только узкий специализированный base/cargo,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Delinia имеет 150-мм base; BOYARD — 150-мм bottle pullout,канонический внешний baseline 3.1
MKT-002,market_baseline,base_general,width,200,200,200,200,,exact,D,niche,high,low,high,medium,"narrow/cargo, не основной шкаф",PRIMARY,deep-research-report.md / Основная нормализованная таблица,METOD и Kesseböhmer подтверждают 200 мм,канонический внешний baseline 3.1
MKT-003,market_baseline,base_general,width,300,300,300,300,,exact,B,high,high,low,high,high,"узкая тумба, ящики, хранение",PRIMARY,deep-research-report.md / Основная нормализованная таблица,"Delinia, METOD, nobilia, Kesseböhmer",канонический внешний baseline 3.1
MKT-004,market_baseline,base_general,width,400,400,400,400,,exact,B,high,high,low,high,high,основной storage/drawer,PRIMARY,deep-research-report.md / Основная нормализованная таблица,"Hoff, Delinia, METOD, nobilia",канонический внешний baseline 3.1
MKT-005,market_baseline,base_general,width,450,450,450,450,,exact,B,high,high,direct-for-DW,high,high,обычная тумба/ящики; appliance-related,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Delinia 450; nobilia 450; Bosch 45-см ПММ,канонический внешний baseline 3.1
MKT-006,market_baseline,base_general,width,500,500,500,500,,exact,C,medium,high,low,high,medium,допустимый регулярный размер,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Столплит использует 500; nobilia/BOYARD поддерживают 500,канонический внешний baseline 3.1
MKT-007,market_baseline,base_general,width,600,600,600,600,,exact,A,high,high,direct,high,high,основной универсальный модуль,PRIMARY,deep-research-report.md / Основная нормализованная таблица,Hoff/Delinia/METOD/nobilia + техника 600,канонический внешний baseline 3.1
MKT-008,market_baseline,base_general,width,700,700,700,700,,exact,C,low,high,low,high,medium,только при наличии системного подтверждения,PRIMARY,deep-research-report.md / Основная нормализованная таблица,"не ядро основных сеток, но BOYARD серийно поддерживает 700-мм сушилки; вывод о частоте — синтез",канонический внешний baseline 3.1
MKT-009,market_baseline,base_general,width,750,750,750,750,,exact,D,low,high,low,medium,medium,system-specific,PRIMARY,deep-research-report.md / Основная нормализованная таблица,METOD имеет 750 мм в отдельном региональном ассортименте,канонический внешний baseline 3.1
MKT-010,market_baseline,base_general,width,800,800,800,800,,exact,B,high,high,medium,high,high,основной широкий drawer/sink/storage,PRIMARY,deep-research-report.md / Основная нормализованная таблица,"Hoff, Delinia, METOD, nobilia",канонический внешний baseline 3.1
